9901,158
9902,138
9903,164
9904,165
9905,174
9906,164
9907,138
9908,144
9909,137
9910,186
9911,131
9912,134
9913,136
9914,137
9915,160
9916,189
9917,155
9918,155
9919,157
9920,169
9921,156
9922,152
9923,159
9924,160
9925,173
9926,148
9927,145
9928,157
9929,163
9930,152
9931,185
9932,186
9933,180
9934,216
9935,158
9936,125
9937,126
9938,126
9939,131
9940,190
9941,190
9942,208
9943,185
9944,177
9945,142
9946,152
9947,158
9948,142
9949,147
9950,162
9951,134
9952,143
9953,135
9954,137
9955,149
9956,151
9957,143
9958,145
9959,136
9960,169
9961,234
9962,209
9963,206
9964,209
9965,167
9966,120
9967,137
9968,127
9969,130
9970,169
9971,121
9972,133
9973,134
9974,138
9975,146
9976,137
9977,146
9978,134
9979,145
9980,191
9981,457
9982,446
9983,424
9984,418
9985,158
9986,158
9987,163
9988,167
9989,180
9990,181
9991,176
9992,157
9993,180
9994,174
9995,148
9996,316
9997,319
9998,349
9999,322
