21,2,262,350,1,1
22,2,0,500,1,1
71,7,296,400,1,1
72,7,0,300,1,1
81,8,323,550,1,1
82,8,0,550,1,1
83,8,338,550,1,1
84,8,0,550,1,1
85,8,0,550,1,1
86,8,358,650,1,1
87,8,0,1050,1,1
88,8,334,500,1,1
89,8,0,500,1,1
90,8,0,500,1,1
91,8,535,900,1,1
92,8,0,900,1,1
93,8,0,1300,1,1
94,8,0,1300,1,1
95,8,0,1300,1,1
96,8,0,1300,1,1
97,8,0,1300,1,1
151,15,1352,2700,1,1
152,15,0,2700,1,1
153,15,0,2700,1,1
154,15,0,4900,1,1
155,15,0,4900,1,1
161,16,179,200,1,1
251,25,250,300,1,1
252,25,0,300,1,1
253,25,0,300,1,1
301,30,141,100,1,1
311,31,177,250,1,1
312,31,0,300,1,1
313,31,0,400,1,1
341,34,121,100,1,1
342,34,0,800,1,1
343,34,624,1100,1,1
344,34,148,100,1,1
345,34,0,200,1,1
346,34,87,100,1,1
347,34,0,200,1,1
348,34,0,2200,1,1
349,34,0,3400,1,1
350,34,0,5100,1,1
351,35,175,200,1,1
