21,2,195,350,1,1
22,2,0,500,1,1
31,3,4128,8200,1,1
71,7,279,400,1,1
72,7,0,300,1,1
81,8,343,550,1,1
82,8,0,550,1,1
83,8,283,550,1,1
84,8,0,550,1,1
85,8,0,550,1,1
86,8,408,650,1,1
87,8,0,1050,1,1
88,8,251,500,1,1
89,8,0,500,1,1
90,8,0,500,1,1
91,8,533,900,1,1
92,8,0,900,1,1
93,8,0,1300,1,1
94,8,0,1300,1,1
95,8,0,1300,1,1
96,8,0,1300,1,1
97,8,0,1300,1,1
151,15,1407,2700,1,1
152,15,0,2700,1,1
153,15,0,2700,1,1
154,15,0,4900,1,1
155,15,0,4900,1,1
161,16,135,200,1,1
251,25,156,300,1,1
252,25,0,300,1,1
253,25,0,300,1,1
301,30,75,100,1,1
311,31,163,250,1,1
312,31,0,300,1,1
313,31,0,400,1,1
341,34,108,100,1,1
342,34,0,800,1,1
343,34,616,1100,1,1
344,34,122,100,1,1
345,34,0,200,1,1
346,34,59,100,1,1
347,34,0,200,1,1
348,34,0,2200,1,1
349,34,0,3400,1,1
350,34,0,5100,1,1
351,35,150,200,1,1
371,37,50,0,1,1
491,49,85,100,1,1
492,49,0,100,1,1
493,49,36,0,1,1
494,49,0,0,1,1
495,49,0,5200,1,1
496,49,0,28700,1,1
497,49,0,28700,1,1
521,52,41,50,1,1
522,52,0,50,1,1
531,53,463,800,1,1
601,60,590,1100,1,1
651,65,9,0,1,1
661,66,355,650,1,1
662,66,188,200,1,1
663,66,0,1200,1,1
671,67,109,100,1,1
691,69,226,300,1,1
731,73,67,100,1,1
732,73,0,100,1,1
733,73,0,100,1,1
734,73,0,100,1,1
735,73,0,100,1,1
761,76,332,500,1,1
762,76,0,500,1,1
763,76,0,500,1,1
764,76,0,500,1,1
781,78,8,0,1,1
782,78,0,0,1,1
791,79,128,100,1,1
811,81,509,1000,1,1
812,81,0,1150,1,1
821,82,282,500,1,1
822,82,0,900,1,1
823,82,1407,2750,1,1
824,82,0,5450,1,1
871,87,73,100,1,1
872,87,0,200,1,1
873,87,0,700,1,1
874,87,0,700,1,1
891,89,82,0,1,1
892,89,0,0,1,1
893,89,0,2400,1,1
901,90,802,1600,1,1
902,90,93,100,1,1
903,90,0,200,1,1
904,90,112,100,1,1
905,90,200,200,1,1
906,90,0,600,1,1
907,90,0,700,1,1
908,90,0,3200,1,1
909,90,0,3200,1,1
921,92,216,400,1,1
